SampleID,Location,Date,Escherichia_coli_per100ml
R1200638-49,GÄVGAXXS,2012-10-13 19:34,100
R1200638-50,GÄVGAXXS,2012-10-14 09:34,<50
R1200638-51,GÄVGAXXS,2012-10-14 19:34,100
R1200638-52,GÄVGAXXS,2012-10-15 09:34,>400
R1200638-53,GÄVGAXXS,2012-10-15 19:34,200
R1200638-54,GÄVGAXXS,2012-10-16 09:34,200
R1200638-55,GÄVGAXXS,2012-10-16 18:34,100
R1200696-00,GÄVGAXXS,2012-10-17 14:12,50
R1200696-01,GÄVGAXXS,2012-10-18 00:06,400
R1200696-02,GÄVGAXXS,2012-10-18 14:06,200
R1200696-03,GÄVGAXXS,2012-10-19 00:06,400
R1200696-04,GÄVGAXXS,2012-10-19 14:06,100
R1200696-05,GÄVGAXXS,2012-10-20 00:06,200
R1200696-06,GÄVGAXXS,2012-10-20 14:06,200
R1200696-07,GÄVGAXXS,2012-10-21 00:06,200
R1200696-08,GÄVGAXXS,2012-10-21 14:06,200
R1200696-09,GÄVGAXXS,2012-10-22 00:06,200
R1200696-10,GÄVGAXXS,2012-10-22 14:06,200
R1200696-11,GÄVGAXXS,2012-10-23 00:06,50
R1200696-12,GÄVGAXXS,2012-10-23 14:06,200
R1200696-13,GÄVGAXXS,2012-10-24 00:06,50
R1200696-14,GÄVGAXXS,2012-10-24 14:06,50
R1200696-15,GÄVGAXXS,2012-10-25 00:06,100
R1200696-16,GÄVGAXXS,2012-10-25 14:06,50
R1200696-17,GÄVGAXXS,2012-10-26 00:06,50
R1200696-18,GÄVGAXXS,2012-10-26 14:06,<50
R1200696-19,GÄVGAXXS,2012-10-27 00:06,50
R1200696-20,GÄVGAXXS,2012-10-27 14:06,<50
R1200696-21,GÄVGAXXS,2012-10-28 00:06,100
R1200696-22,GÄVGAXXS,2012-10-28 14:06,50
R1200696-23,GÄVGAXXS,2012-10-29 00:06,100
R1200696-24,GÄVGAXXS,2012-10-29 14:06,400
R1200696-25,GÄVGAXXS,2012-10-30 00:06,>400
R1200696-26,GÄVGAXXS,2012-10-30 14:06,>400
R1200696-27,GÄVGAXXS,2012-10-31 00:06,>400
R1200696-28,GÄVGAXXS,2012-10-31 14:06,200
R1200696-29,GÄVGAXXS,2012-11-01 00:06,50
R1200696-30,GÄVGAXXS,2012-11-01 14:06,50
R1200696-31,GÄVGAXXS,2012-11-02 00:06,100
R1200696-32,GÄVGAXXS,2012-11-02 14:06,200
R1200696-33,GÄVGAXXS,2012-11-03 00:06,400
R1200696-34,GÄVGAXXS,2012-11-03 14:06,>400
R1200696-35,GÄVGAXXS,2012-11-04 00:06,200
R1200696-36,GÄVGAXXS,2012-11-04 14:06,>400
R1200696-37,GÄVGAXXS,2012-11-05 00:06,200
R1200696-38,GÄVGAXXS,2012-11-05 14:06,50
R1200696-39,GÄVGAXXS,2012-11-06 00:06,<50
R1200696-40,GÄVGAXXS,2012-11-06 14:06,<50
R1200696-41,GÄVGAXXS,2012-11-07 00:06,100
R1200696-42,GÄVGAXXS,2012-11-07 14:06,100
R1200696-43,GÄVGAXXS,2012-11-08 00:06,50
R1200696-44,GÄVGAXXS,2012-11-08 14:06,50
R1200696-45,GÄVGAXXS,2012-11-09 00:06,<50
R1200696-46,GÄVGAXXS,2012-11-09 14:06,200
R1200696-47,GÄVGAXXS,2012-11-10 00:06,<50
R1200696-48,GÄVGAXXS,2012-11-10 14:06,100
R1200696-49,GÄVGAXXS,2012-11-11 00:06,100
R1200696-50,GÄVGAXXS,2012-11-11 14:06,100
R1200701-00,GÄVGAXXS,2012-11-12 18:25,100
R1200701-01,GÄVGAXXS,2012-11-13 04:19,50
R1200701-02,GÄVGAXXS,2012-11-13 18:19,100
R1200701-03,GÄVGAXXS,2012-11-14 04:19,<50
R1200701-04,GÄVGAXXS,2012-11-14 18:19,100
R1200701-05,GÄVGAXXS,2012-11-15 04:19,50
R1200701-06,GÄVGAXXS,2012-11-15 18:19,100
R1200701-07,GÄVGAXXS,2012-11-16 04:19,50
R1200701-08,GÄVGAXXS,2012-11-16 18:19,100
R1200701-09,GÄVGAXXS,2012-11-17 04:19,100
R1200701-10,GÄVGAXXS,2012-11-17 18:19,100
R1200701-11,GÄVGAXXS,2012-11-18 04:19,<50
R1200701-12,GÄVGAXXS,2012-11-18 18:19,200
R1200701-13,GÄVGAXXS,2012-11-19 04:19,100
R1200701-14,GÄVGAXXS,2012-11-19 18:19,200
R1200701-15,GÄVGAXXS,2012-11-20 04:19,<50
R1200701-16,GÄVGAXXS,2012-11-20 18:19,100
R1200701-17,GÄVGAXXS,2012-11-21 04:19,50
R1200701-18,GÄVGAXXS,2012-11-21 18:19,<50
R1200701-19,GÄVGAXXS,2012-11-22 04:19,<50
R1200701-20,GÄVGAXXS,2012-11-22 18:19,100
R1200701-21,GÄVGAXXS,2012-11-23 04:19,200
R1200701-22,GÄVGAXXS,2012-11-23 18:19,100
R1200701-23,GÄVGAXXS,2012-11-24 04:19,50
R1200701-24,GÄVGAXXS,2012-11-24 18:19,50
R1200701-25,GÄVGAXXS,2012-11-25 04:19,<50
R1200701-26,GÄVGAXXS,2012-11-25 18:19,<50
R1200701-27,GÄVGAXXS,2012-11-26 04:19,50
R1200701-28,GÄVGAXXS,2012-11-26 18:19,>400
R1200701-29,GÄVGAXXS,2012-11-27 04:19,100
R1200701-30,GÄVGAXXS,2012-11-27 18:19,400
R1200701-31,GÄVGAXXS,2012-11-28 04:19,400
R1200701-32,GÄVGAXXS,2012-11-28 18:19,200
R1200701-33,GÄVGAXXS,2012-11-29 04:19,200
R1200701-34,GÄVGAXXS,2012-11-29 18:19,200
R1200701-35,GÄVGAXXS,2012-11-30 04:19,200
